002,56663,268451,0.21,10.42,205649,917870,0.10,5.23,0,0,0.00,0.00
078,75080,374297,0.40,10.70,213735,1012961,0.31,5.41,0,0,0.00,0.00
091,73549,385438,1.05,10.88,241921,1150916,0.50,5.46,951197,4513166,0.09,2.74
105,76920,392357,1.01,10.99,229201,1085103,0.52,5.51,864112,4044782,0.25,2.77
127,78000,394201,1.10,11.02,229561,1085115,0.43,5.55,0,0,0.00,0.00
172,74747,404183,1.06,10.66,250598,1205522,0.45,5.37,0,0,0.00,0.00
175,80552,421045,0.94,11.01,250010,1192453,0.09,5.43,971769,4545533,0.13,2.73
176,73893,376981,0.96,10.30,236044,1103313,0.45,5.18,925360,4327308,0.24,2.60
178,74305,380830,0.89,10.26,230342,1086651,0.50,5.14,899409,4205827,0.15,2.58
183,79983,403220,0.98,10.59,228810,1080081,0.43,5.38,855631,4023766,0.23,2.69
190,80824,404862,0.60,10.81,228540,1075838,0.52,5.42,869291,4044744,0.10,2.73
191,86192,448242,0.87,10.95,256069,1225482,0.48,5.49,973581,4554988,0.24,2.75
199,81574,424664,1.00,10.83,253784,1199128,0.51,5.43,955595,4428214,0.04,2.72
205,81143,423197,1.02,10.91,240837,1167721,0.50,5.47,950203,4453739,0.24,2.75
215,79428,406316,1.01,10.90,234481,1117785,0.54,5.58,903415,4243049,0.23,2.77
218,79059,405030,0.94,10.69,239084,1136336,0.51,5.40,915324,4314036,0.02,2.70
227,80163,415968,1.04,11.06,239221,1141950,0.55,5.60,925175,4293556,0.03,2.81
228,78527,391206,0.95,11.37,211243,1006364,0.47,5.73,766404,3613485,0.24,2.87
230,78125,400132,1.04,10.67,238326,1129354,0.47,5.35,926311,4339819,0.16,2.68
235,76058,379266,1.10,10.46,220072,1038529,0.50,5.31,829541,3944186,0.23,2.66
236,82373,420395,1.00,10.40,251776,1188577,0.47,5.22,954926,4500535,0.22,2.61
240,82737,425841,0.96,10.79,250220,1184843,0.48,5.43,1039209,4761980,0.23,2.72
241,81636,404870,0.97,10.62,234802,1104395,0.47,5.35,882364,4163055,0.22,2.70
249,75769,390828,0.95,10.37,240209,1140383,0.46,5.19,0,0,0.00,0.00
999,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
